"id","Title"
"6639c4b6078f0b3454c91bae","European Conference on Technology Enhanced Learning"
"6639c4ba078f0b3454c91bb2","European MPI Users' Group Conference"
"6639c4c4078f0b3454c91bbc","European Symposium On Research In Computer Security"
"6639c4c6078f0b3454c91bbe","European Workshop on Computational Geometry"
"6639c4d9078f0b3454c91bce","Flexible Query-Answering Systems"
"6639c4de078f0b3454c91bd2","Formal Methods in Computer-Aided Design"
"6639c4f6078f0b3454c91be4","GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment"
"6639c4fa078f0b3454c91be8","Graphics Interface"
"6639c505078f0b3454c91bf2","Human System Interaction"
"6639c50d078f0b3454c91bfa","ICT in Education, Research, and Industrial Applications"
"6639c53e078f0b3454c91c28","IEEE International Conference on Big Data"
"6639c558078f0b3454c91c40","IEEE International Conference on Data Science and Advanced Analytics"
"6639c6734c771c093141cb6a","IEEE International Conference on Distributed Computing in Sensor Systems"
"6639c67a4c771c093141cb70","IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006)"
"6639c67c4c771c093141cb72","IEEE International Conference on Engineering of Complex Computer Systems"
"6639c6834c771c093141cb78","IEEE International Conference on Global Software Engineering"
"6639c6874c771c093141cb7c","IEEE International Conference on High Performance Computing and Simulation"
"6639c68b4c771c093141cb80","IEEE International Conference on Information and Automation"
"6639c68e4c771c093141cb84","IEEE International Conference on Intelligence and Security Informatics"
"6639c6a24c771c093141cb96","IEEE International Conference on Service-Oriented Computing and Applications"
"6639c6a44c771c093141cb98","IEEE International Conference on Software Analysis, Evolution and Reengineering"
"6639c6ac4c771c093141cba0","IEEE International Conference on Web Services"
"6639c6b24c771c093141cba6","IEEE International Geoscience and Remote Sensing Symposium"
"6639c48f078f0b3454c91b8a","European Conference on Ambient Intelligence"
"6639c499078f0b3454c91b94","European Conference on Computer Vision"
"6639c49c078f0b3454c91b96","European Conference on Digital Government (was European Conference on e-Government ECEG)"
"6639c4a2078f0b3454c91b9c","European Conference on Information Retrieval"
"6639c4b0078f0b3454c91ba8","European Conference on Pattern Languages of Programs"
"6639c4c9078f0b3454c91bc0","European-Japanese Conference on Information Modelling and Knowledge Bases"
"6639c4cb078f0b3454c91bc2","Eurosys Conference"
"6639c4cf078f0b3454c91bc6","Extended Semantic Web Conference (was European Semantic Web Conference)"
"6639c4ee078f0b3454c91bde","Fundamental Approaches to Software Engineering"
"6639c507078f0b3454c91bf4","Human-Agent Interaction"
"6639c511078f0b3454c91bfe","IEEE Bioinformatics and Bioengineering"
"6639c52f078f0b3454c91c1a","IEEE Global Internet Symposium"
"6639c533078f0b3454c91c1e","IEEE Industry Applications Society Annual Conference"
"6639c537078f0b3454c91c22","IEEE International Conference on Advanced Video and Signal Based Surveillance"
